pr_id,build_result,git_branch,last_build_result_branch,time_elapse_branch,committer_history,committer_recent,committer_exp,project_history,project_recent,days_last_failed
7541.0,-1.0,78.0,1.0,3.0,0.073170732,0.0,4.406719247,0.19357022,1.0,6.0
7541.0,-1.0,78.0,1.0,3.0,0.073170732,0.0,4.406719247,0.19357022,1.0,6.0
7541.0,-1.0,78.0,1.0,3.0,0.073170732,0.0,4.406719247,0.19357022,1.0,6.0
7541.0,-1.0,78.0,1.0,3.0,0.073170732,0.0,4.406719247,0.19357022,1.0,6.0
7533.0,-1.0,78.0,1.0,2.0,0.0,0.0,0.0,0.193362682,1.0,18.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7468.0,-1.0,78.0,0.0,0.0,0.072463768,0.0,4.234106505,0.194539249,1.0,0.0
7468.0,-1.0,78.0,0.0,0.0,0.072463768,0.0,4.234106505,0.194539249,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,-1.0,78.0,1.0,0.0,0.071428571,0.0,4.248495242,0.194472876,1.0,0.0
7469.0,0.0,78.0,1.0,0.0,0.0714285714285714,0.0,4.248495242049359,0.1944728761514841,1.0,0.0
7468.0,0.0,78.0,0.0,0.0,0.072463768115942,0.0,4.23410650459726,0.1945392491467577,1.0,0.0
